Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
0,238.7047619,1,146803.4286,15,15,2,19170,2242,Long-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1,281.68,1,439984.16,22,22,1,14530,2368,Long-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2,432.8571429,1,970465.7143,19,19,1,21331,4028,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3,0,0,230193.6,17,17,1,13814,2417,Mid-term,English,NOTICE,PHONE,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4,308.4190476,1,182584.0762,16,16,2,15292,3137,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
5,0,0,151252.5,6,6,0,12551,2893,Mid-term,English,NOTICE,MAIL,51-100,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,0,0,1377761,21,21,1,12991,2779,Mid-term,Unknown,NOTICE,MAIL,51-100,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7,223.44,1,277512.48,18,18,1,14149,3214,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,0,0,221457.1429,15,15,1,13631,2077,Mid-term,English,NOTICE,WEB,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,124.76,1,199366.48,17,17,1,14817,2204,Long-term,English,NOTICE,MAIL,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,0,0,332935.2693,22,22,2,12170,2143,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
11,0,0,184006.2857,15,15,1,12445,2114,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
12,110.3333333,1,148950,10,10,2,18167,2056,Long-term,English,NOTICE,MAIL,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
13,0,0,255984.48,23,23,1,1747,3037,Short-term,English,NOTICE,MAIL,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
14,141.712,1,637704,30,30,2,16842,2135,Long-term,English,NOTICE,BRANCH (POS),6-10,Premier,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
